,Date,Name,Price,RSI,MarketCap,Volume,URL
107,20200820,turtlecoin,2.1e-05,55.85490005079925,"$1,677,425 USD","$857,972 USD",https://coinmarketcap.com/currencies/turtlecoin/historical-data/?start=20200501&end=20200820
175,20200820,bolt,0.0034509999999999996,55.859670633182354,"$3,492,340 USD","$268,965 USD",https://coinmarketcap.com/currencies/bolt/historical-data/?start=20200501&end=20200820
181,20200820,eden,0.00288,55.96974913742244,"$1,702,452 USD","$105,531 USD",https://coinmarketcap.com/currencies/eden/historical-data/?start=20200501&end=20200820
36,20200820,change,0.158745,56.38357109400971,"$2,909,231 USD","$65,880.98 USD",https://coinmarketcap.com/currencies/change/historical-data/?start=20200501&end=20200820
105,20200820,decred,17.16,56.395869505328015,"$208,019,751 USD","$6,434,215 USD",https://coinmarketcap.com/currencies/decred/historical-data/?start=20200501&end=20200820
141,20200820,elastos,2.72,56.43112137840998,"$47,732,736 USD","$6,711,710 USD",https://coinmarketcap.com/currencies/elastos/historical-data/?start=20200501&end=20200820
26,20200820,selfkey,0.001941,56.442427615698655,"$6,120,871 USD","$364,402 USD",https://coinmarketcap.com/currencies/selfkey/historical-data/?start=20200501&end=20200820
115,20200820,te-food,0.023954,56.51058873243796,"$12,451,063 USD","$62,926.86 USD",https://coinmarketcap.com/currencies/te-food/historical-data/?start=20200501&end=20200820
38,20200820,bittorrent,0.000469,56.64582243093339,"$459,155,506 USD","$27,599,527 USD",https://coinmarketcap.com/currencies/bittorrent/historical-data/?start=20200501&end=20200820
189,20200820,akropolis,0.027047,56.788371420784806,"$52,647,030 USD","$6,667,978 USD",https://coinmarketcap.com/currencies/akropolis/historical-data/?start=20200501&end=20200820
67,20200820,maker,665.88,56.83196248011425,"$659,546,110 USD","$39,053,468 USD",https://coinmarketcap.com/currencies/maker/historical-data/?start=20200501&end=20200820
205,20200820,aelf,0.119468,57.03116140204518,"$69,061,425 USD","$18,374,364 USD",https://coinmarketcap.com/currencies/aelf/historical-data/?start=20200501&end=20200820
48,20200820,tomochain,1.25,57.080594828757086,"$87,375,945 USD","$9,166,533 USD",https://coinmarketcap.com/currencies/tomochain/historical-data/?start=20200501&end=20200820
61,20200820,silent-notary,3e-06,57.17445510214952,"$243,830 USD","$15,322.55 USD",https://coinmarketcap.com/currencies/silent-notary/historical-data/?start=20200501&end=20200820
55,20200820,eos,3.44,57.45280772788281,"$3,309,545,318 USD","$2,476,085,936 USD",https://coinmarketcap.com/currencies/eos/historical-data/?start=20200501&end=20200820
58,20200820,neblio,0.6696810000000001,57.73888577856362,"$10,851,903 USD","$200,389 USD",https://coinmarketcap.com/currencies/neblio/historical-data/?start=20200501&end=20200820
168,20200820,function-x,0.10313900000000001,57.96502930186181,"$22,698,458 USD","$554,496 USD",https://coinmarketcap.com/currencies/function-x/historical-data/?start=20200501&end=20200820
5,20200820,credits,0.037497,57.978590647180845,"$6,669,436 USD","$175,439 USD",https://coinmarketcap.com/currencies/credits/historical-data/?start=20200501&end=20200820
122,20200820,fetch,0.117226,58.078151182279,"$89,917,138 USD","$26,949,798 USD",https://coinmarketcap.com/currencies/fetch/historical-data/?start=20200501&end=20200820
178,20200820,cappasity,0.002286,58.17740352312239,"$1,499,933 USD","$63,422.17 USD",https://coinmarketcap.com/currencies/cappasity/historical-data/?start=20200501&end=20200820
150,20200820,herocoin,0.00313,58.267834898124846,"$573,016 USD","$20,208.47 USD",https://coinmarketcap.com/currencies/herocoin/historical-data/?start=20200501&end=20200820
88,20200820,xrp,0.292573,58.30979383173553,"$13,219,105,255 USD","$1,741,093,684 USD",https://coinmarketcap.com/currencies/xrp/historical-data/?start=20200501&end=20200820
200,20200820,matrix-ai-network,0.018476,58.34949229411393,"$2,968,702 USD","$117,977 USD",https://coinmarketcap.com/currencies/matrix-ai-network/historical-data/?start=20200501&end=20200820
43,20200820,swipe,3.2,58.44334200462355,"$204,930,008 USD","$234,388,524 USD",https://coinmarketcap.com/currencies/swipe/historical-data/?start=20200501&end=20200820
23,20200820,ontology,0.855311,58.4746100672415,"$666,835,816 USD","$239,435,536 USD",https://coinmarketcap.com/currencies/ontology/historical-data/?start=20200501&end=20200820
